branch,sequence_no,runway_stage,status,depends_on,entry_gate,planned_output,exit_gate,blocked_by,next_action,operator_facing_change
BR-20260425-140,13,truth_replay_scorecard_run,blocked_waiting_sidecar_truth,"BR-138; BR-139","sidecar truth package exists","baseline vs candidate replay/evaluation outputs","metrics computed with support counts and no unsupported improvement claim","sidecar truth rows absent","Run after sidecar truth package",no
BR-20260425-141,14,threshold_candidate_selection_contract,blocked_waiting_replay,BR-140,"truth replay exists with enough positives/negatives","one-rule candidate selection contract","exactly one candidate rule is selected for shadow only or selection is blocked","truth replay absent; support counts unknown","Wait for replay evidence",no
BR-20260425-142,15,one_rule_shadow_apply,blocked_waiting_rule_candidate,BR-141,"one candidate rule selected and gates pass","one-rule shadow application outputs","shadow result delta proves intended-only candidate effect","no selected rule candidate","Apply only one selected rule in shadow",no
BR-20260425-143,16,panel_engine_prepatch_gate_refresh,complete_this_branch,BR-127,"prepatch gate docs/scripts exist; refresh can be fail-closed","refreshed panel-engine prepatch gate checklist","contract rows 12; missing candidate blocks closed; fixture proves complete candidate opens while replay/shadow/runbook/write-boundary blockers block","selected rule candidate and real replay/shadow rows absent","Use BR-143 gate; BR-144 waits for BR-141/142 selected rule and prepatch-ready candidate",no
BR-20260425-144,17,panel_engine_semantic_patch,blocked_waiting_prepatch,"BR-142; BR-143","shadow rule candidate and prepatch gate pass","minimal panel_day_engine.py semantic patch if authorized","patch is tiny, documented, py_compile passes, public docs updated if behavior changes","no shadow-selected rule; no truth replay support; no shadow result; no BR-143 prepatch-ready candidate","Do not patch engine until BR-141/142 and BR-143 all pass",yes_if_authorized
BR-20260425-145,18,fresh_tri_site_rerun,blocked_waiting_patch_or_noop_decision,BR-144,"semantic patch or explicit no-op replay candidate exists","fresh tri-site rerun outputs","rerun completes with result-only retention and manifest paths","no patch/no-op candidate ready","Run after patch/no-op decision",no
BR-20260425-146,19,result_delta_acceptance,blocked_waiting_rerun,BR-145,"fresh rerun exists","result delta acceptance scorecard","changed rows/columns are intended and unsupported improvement claims remain blocked or justified","fresh rerun absent","Run scorecard after rerun",no
BR-20260425-147,20,release_handoff_sync,blocked_waiting_delta_acceptance,BR-146,"result delta accepted","ONEPAGER/data_dictionary/release/handoff sync patch","docs explain behavior changes or explicitly state no behavior change","delta acceptance absent","Sync docs only after result delta is known",no
BR-20260425-148,21,commit_scope_pack,blocked_waiting_release_sync,BR-147,"release/handoff docs synced","commit-scope checklist and changed-file bundle summary","commit scope excludes large data/raw/out and unrelated dirty files","release sync absent","Prepare commit scope after docs sync",no
BR-20260425-149,22,final_prelabel_readiness_audit,blocked_waiting_commit_scope,BR-148,"commit scope cleanly identified","pre-label readiness audit","BR-128..BR-148 outputs are present, validated, and open blockers listed","commit scope not prepared","Run final readiness audit before BR-150",no
BR-20260425-150,23,prelabel_runway_checkpoint,blocked_waiting_readiness_audit,BR-149,"final pre-label readiness audit passes","pre-label runway checkpoint","pipeline is ready to accept real labels and rerun without mixing truth/materialization/engine semantics","readiness audit absent","Use as checkpoint, not final algorithm completion",no
