경로,존재여부,파일종류_ko,granularity_ko,panel_id_컬럼존재_flag,site_컬럼존재_flag,유형_컬럼존재_flag,점수_컬럼존재_flag,panel_attach_candidate_flag,current_panel_count,candidate_panel_count,overlap_panel_count,overlap_rate,attachability_note_ko,note_ko
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F2L.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F2M.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F3L.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F3M.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F4L.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F4M.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F5L.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F5M.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F6L.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F6M.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F7L.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/_download/GPVS_Faults/n76t439f65-1/CSV_Files/F7M.csv,1,테이블,불명확,0,0,0,0,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_BYTYPE_METRICS.csv,1,테이블,유형수준,0,0,1,1,0,,,,,유형 label은 있지만 panel key가 없어 type-level/aggregate 해석만 가능,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_BYTYPE_ONEPAGE.md,1,문서,유형수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE2_BYTYPE_METRICS.csv,1,테이블,유형수준,0,0,1,1,0,,,,,유형 label은 있지만 panel key가 없어 type-level/aggregate 해석만 가능,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE2_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE2_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE3_BYTYPE_METRICS.csv,1,테이블,유형수준,0,0,1,1,0,,,,,유형 label은 있지만 panel key가 없어 type-level/aggregate 해석만 가능,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE3_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE3_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE_BYTYPE_METRICS.csv,1,테이블,유형수준,0,0,1,1,0,,,,,유형 label은 있지만 panel key가 없어 type-level/aggregate 해석만 가능,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ENSEMBLE_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_SUPERVISED2_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_SUPERVISED2_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_SUPERVISED3_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_SUPERVISED3_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/EXTERNAL_GPVS_SUPERVISED_METRICS.csv,1,테이블,집계수준,0,0,0,1,0,,,,,panel key와 유형 label이 모두 부족,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
data/gpvs/out/EXTERNAL_GPVS_SUPERVISED_ONEPAGE.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
data/gpvs/out/gpvs_window_scores.csv,1,테이블,에피소드수준,0,0,1,0,0,,,,,유형 label은 있지만 panel key가 없어 type-level/aggregate 해석만 가능,current panel table에 직접 붙일 최소 key/label 요건을 충족하지 못함
docs/OPS_GPVS_FAULT_FAMILY_F1.md,1,문서,유형수준,0,0,0,0,0,,,,,,문서형 요약 파일이라 panel direct attach source 아님
docs/OPS_PANEL_DAY_ENGINE_GPVS_PANEL_ATTACH_AUDIT_V1.md,1,문서,불명확,0,0,0,0,0,,,,,,문서형 요약 파일이라 panel direct attach source 아님
docs/reports/gpvs_final_summary.md,1,문서,집계수준,0,0,0,0,0,,,,,유형/집계 설명용 문서,문서형 요약 파일이라 panel direct attach source 아님
