site,panel_id,사건유형_ko,사건유형_해석_ko,최종고장양상_ko,대표판정_ko,사건이력_ko,전조흔적_flag,순수급작_flag,전조평가셋편입_flag,급작평가셋편입_flag,해석대평가차이_ko,운영최초전조발견일,운영최초전조마커,사건해석상전조시작일,benchmark전조시작일,전조형이력_flag,급작고장이력_flag,공통원인이력_flag,반복이상이력_flag,패널고장여부_ko,GPVS_적용대상_ko,커널로그_증상명_ko,커널로그_원인군_ko,GPVS_부착상태_ko,GPVS_내부참고유형_ko,GPVS_외부참조패턴_ko,GPVS_참조사용등급_ko,GPVS_참조설명_ko,세부fault_type_code,세부fault_type_label_ko,세부fault_부착상태_ko,세부fault_근거파일_ko,세부fault_기준일,세부fault_보류사유_ko,운영위치_ko,판정주의_ko
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.1.12,불충분,불충분,불충분,불충분,,0,0,0,0,,,,,,0,0,0,0,미확정,비대상,불충분,불충분,비대상,,,,,,,비대상,,,,바로 확인,"현재 stored positive universe와 직접 연결되지 않아 사건 성격을 보수적으로 유지한다. 현재 stored field로 커널로그 증상축을 더 붙이기 어렵다. 사건유형=불충분, 최종고장양상=불충분 사건이력 없음 workflow current row 기반 fallback verdict 고장 패널이 아니어서 GPVS 적용 대상 아님"
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.4.15,공통원인 이벤트,공통원인 이벤트,해당없음,공통원인 이벤트,공통원인 이벤트,0,0,0,0,,,,,,0,0,1,0,비고장,비대상,패턴 이상형,불충분,비대상,,,,,,,비대상,,,,현재 workflow 미포함,"공통원인 이벤트 축은 current closeout 기준 exploratory 범위로만 읽는다. 공통원인 representative verdict라 nearest symptom 축으로 패턴 이상형만 부착했다. 사건유형=공통원인 이벤트, 최종고장양상=해당없음 사건이력=공통원인 이벤트 common-cause descriptive positive universe 포함; 현재 workflow default row에는 아직 없음 고장 패널이 아니어서 GPVS 적용 대상 아님"
gangui,4fd0c566-e25e-4d51-96ca-57cc46940593.5.4,불충분,불충분,불충분,불충분,,0,0,0,0,,,,,,0,0,0,0,미확정,비대상,불충분,불충분,비대상,,,,,,,비대상,,,,바로 확인,"현재 stored positive universe와 직접 연결되지 않아 사건 성격을 보수적으로 유지한다. 현재 stored field로 커널로그 증상축을 더 붙이기 어렵다. 사건유형=불충분, 최종고장양상=불충분 사건이력 없음 workflow current row 기반 fallback verdict 고장 패널이 아니어서 GPVS 적용 대상 아님"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.7,급작 고장,급작 고장,급작 발생,급작 고장,급작 고장,0,1,0,1,,,,,,0,1,0,0,고장,적용대상,전압 변화형,다이오드형,부착,전기적 고장 계열,장치 응답 이상형,비권장,"센서/피드백 오류로 장치 응답이 어긋나는 패턴으로, 패널 물리 파손보다 장치 응답 이상 힌트로 해석",,,보류,,2025-06-08,no_exact_date_match,바로 확인,"급작 고장 축은 current closeout 기준 exploratory 범위로만 읽는다. 커널로그 원인군은 abrupt6 symptom map의 `다이오드형` 를 연결했다. 사건유형=급작 고장, 최종고장양상=급작 발생 사건이력=급작 고장 abrupt6 positive universe 포함; fault panel event audit explicit rule 적용 세부fault_type 보류=no_exact_date_match GPVS learned by-type 세부fault=F2M, score=0.9983614102233516, margin=0.996730629733898 fault panel event audit 재판정=급작 고장/급작 발생 abrupt positive evidence 가 있고, retrospective_onset_date 가 공란이거나 retrospective_onset_date == strict_trigger_date 이면서 onset_method=strict_trigger_fallback, onset_confidence != high 인 same-day fallback onset 이라 급작 고장으로 둠; 급격 종료 규칙은 아니지만 사건유형_재판정_ko == 급작 고장 이라 급작 발생으로 둠; abrupt_positive_evidence_flag=1; vendor_fault_family=diode_like, vendor_reply_class=vendor_pattern_positive"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.0.9,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
gangui,bf1a912f-6cf0-4f12-8e97-9d9d86576511.2.16,급작 고장,급작 고장,급작 발생,급작 고장,급작 고장,0,1,0,1,,,,,,0,1,0,0,고장,적용대상,전압 변화형,다이오드형,부착,전기적 고장 계열,장치 응답 이상형,비권장,"센서/피드백 오류로 장치 응답이 어긋나는 패턴으로, 패널 물리 파손보다 장치 응답 이상 힌트로 해석",,,보류,,2025-06-08,no_exact_date_match,현재 workflow 미포함,"급작 고장 축은 current closeout 기준 exploratory 범위로만 읽는다. 커널로그 원인군은 abrupt6 symptom map의 `다이오드형` 를 연결했다. 사건유형=급작 고장, 최종고장양상=급작 발생 사건이력=급작 고장 abrupt6 positive universe 포함; fault panel event audit explicit rule 적용; 현재 workflow default row에는 아직 없음 세부fault_type 보류=no_exact_date_match GPVS learned by-type 세부fault=F2M, score=0.9909254812518792, margin=0.9818540541011564 fault panel event audit 재판정=급작 고장/급작 발생 abrupt positive evidence 가 있고, retrospective_onset_date 가 공란이거나 retrospective_onset_date == strict_trigger_date 이면서 onset_method=strict_trigger_fallback, onset_confidence != high 인 same-day fallback onset 이라 급작 고장으로 둠; 급격 종료 규칙은 아니지만 사건유형_재판정_ko == 급작 고장 이라 급작 발생으로 둠; abrupt_positive_evidence_flag=1; vendor_fault_family=diode_like, vendor_reply_class=vendor_pattern_positive"
ktc_ess,10305b40-b67e-40d1-9cd1-271b6642a3d9.2.12,급작 고장,급작 고장,급작 발생,급작 고장,급작 고장,0,1,0,1,,,,,,0,1,0,0,고장,적용대상,전압 변화형,다이오드형,부착,불확실,국소 출력 불균형형,주의참고,"일부 패널의 출력 균형이 깨지는 패턴으로, 부분 음영뿐 아니라 오염·열화·다이오드/접속 이상 등과 유사하게 보일 수 있음",,,보류,,2025-08-16,no_exact_date_match,바로 확인,"급작 고장 축은 current closeout 기준 exploratory 범위로만 읽는다. 커널로그 원인군은 abrupt6 symptom map의 `다이오드형` 를 연결했다. 사건유형=급작 고장, 최종고장양상=급작 발생 사건이력=급작 고장 abrupt6 positive universe 포함; fault panel event audit explicit rule 적용 세부fault_type 보류=no_exact_date_match GPVS learned by-type 세부fault=F4L, score=0.8217373274556089, margin=0.7049574685022191 fault panel event audit 재판정=급작 고장/급작 발생 abrupt positive evidence 가 있고, retrospective_onset_date 가 공란이거나 retrospective_onset_date == strict_trigger_date 이면서 onset_method=strict_trigger_fallback, onset_confidence != high 인 same-day fallback onset 이라 급작 고장으로 둠; 급격 종료 규칙은 아니지만 사건유형_재판정_ko == 급작 고장 이라 급작 발생으로 둠; abrupt_positive_evidence_flag=1; vendor_fault_family=diode_like, vendor_reply_class=vendor_pattern_positive"
ktc_ess,70ad2d87-cdb6-4842-81b7-71c7599bbf05.1.4,전조형 고장,전조형 고장,진행성 악화,전조형 고장,전조형 고장,1,0,1,0,,2025-01-27,first_cond_evt,2025-01-25,2025-01-27,1,0,0,1,고장,적용대상,출력 저하형,모듈손상형,부착,전기적 고장 계열,장치 응답 이상형,비권장,"센서/피드백 오류로 장치 응답이 어긋나는 패턴으로, 패널 물리 파손보다 장치 응답 이상 힌트로 해석",,,보류,,2025-02-02,no_exact_date_match,경과 관찰,"전조형 고장 축은 current closeout 기준 exploratory 범위로만 읽는다. 커널로그 원인군은 abrupt6 symptom map의 `모듈손상형` 를 연결했다. 사건유형=전조형 고장, 최종고장양상=진행성 악화 사건이력=전조형 고장 precursor onset truth positive universe 포함; workflow watch_now_panel 포함; fault panel event audit explicit rule 적용 세부fault_type 보류=no_exact_date_match GPVS learned by-type 세부fault=F2M, score=0.9632018904449848, margin=0.926880388621922 fault panel event audit 재판정=전조형 고장/진행성 악화 retrospective_onset_date 비공란, strict_trigger_date 비공란, retrospective_onset_date < strict_trigger_date, onset_confidence=high, onset_method=persistent_5of7 이 모두 성립; 사건유형_재판정_ko == 전조형 고장 이고 급격 종료 규칙은 아니므로 진행성 악화로 둠; abrupt_positive_evidence_flag=1; strict precursor truth positive 포함; vendor_fault_family=module_damage_like, vendor_reply_class=vendor_likely_positive 운영상 최초 전조 발견=2025-01-27 (first_cond_evt) / 사건 해석상 전조 시작=2025-01-25 / benchmark 전조 시작=2025-01-27"
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.1,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.2,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
ktc_ess,e089076c-92c1-4365-8641-2182b4f274e6.0.5,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
sinhyo,43269809-c7ab-4f87-b228-095e2785c744.1.4,불충분,불충분,불충분,불충분,,0,0,0,0,,,,,,0,0,0,0,미확정,비대상,불충분,불충분,비대상,,,,,,,비대상,,,,바로 확인,"현재 stored positive universe와 직접 연결되지 않아 사건 성격을 보수적으로 유지한다. 현재 stored field로 커널로그 증상축을 더 붙이기 어렵다. 사건유형=불충분, 최종고장양상=불충분 사건이력 없음 workflow current row 기반 fallback verdict 고장 패널이 아니어서 GPVS 적용 대상 아님"
sinhyo,43269809-c7ab-4f87-b228-095e2785c744.1.5,불충분,불충분,불충분,불충분,,0,0,0,0,,,,,,0,0,0,0,미확정,비대상,불충분,불충분,비대상,,,,,,,비대상,,,,바로 확인,"현재 stored positive universe와 직접 연결되지 않아 사건 성격을 보수적으로 유지한다. 현재 stored field로 커널로그 증상축을 더 붙이기 어렵다. 사건유형=불충분, 최종고장양상=불충분 사건이력 없음 workflow current row 기반 fallback verdict 고장 패널이 아니어서 GPVS 적용 대상 아님"
sinhyo,af126597-828b-4ed4-8d9c-3e32bf5c6e9e.4.4,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
sinhyo,af126597-828b-4ed4-8d9c-3e32bf5c6e9e.4.5,반복 이상,반복 이상,해당없음,반복 이상,반복 이상,0,0,0,0,,,,,,0,0,0,1,미확정,비대상,불안정형,불충분,비대상,,,,,,,비대상,,,,경과 관찰,"반복 이상은 chronic monitor/반복 lane 해석이며 stable fault classifier claim이 아니다. watch_now_panel 반복 lane이라 nearest symptom 축으로 불안정형만 부착했다. 사건유형=반복 이상, 최종고장양상=해당없음 사건이력=반복 이상 workflow watch_now_panel 포함 고장 패널이 아니어서 GPVS 적용 대상 아님"
